Date,Open,High,Low,Close,Adj_Close,Volume,Day
2010-09-09,102.5,102.5,101.139999,101.32,79.369949,26500,0
2010-09-10,101.68,101.860001,101.300003,101.779999,79.730316,8600,1
2010-09-13,102.959999,103.139999,102.5,103.059998,80.73304,33750,2
2010-09-14,102.839996,103.480003,102.379997,103.040001,80.717384,59400,3
2010-09-15,102.620003,103.379997,102.400002,103.300003,80.921051,9250,4
2010-09-16,103.019997,103.32,102.699997,103.260002,80.889694,59550,5
2010-09-17,103.879997,103.879997,103.019997,103.360001,80.96804,49350,6
2010-09-20,103.739998,105.040001,103.459999,105.040001,82.284081,19000,7
2010-09-21,105.019997,105.440002,104.279999,104.720001,82.033394,19250,8
2010-09-22,104.559998,105.040001,103.959999,104.160004,81.594719,18100,9
2010-09-23,103.32,104.339996,103.120003,103.300003,80.921051,33350,10
2010-09-24,103.940002,104.900002,103.860001,104.839996,82.573433,24100,11
2010-09-27,104.980003,104.980003,104.339996,104.339996,82.179642,15000,12
2010-09-28,104.32,105.019997,103.419998,105.019997,82.715218,49850,13
2010-09-29,104.580002,104.919998,104.220001,104.519997,82.321396,15900,14
2010-09-30,105.199997,105.68,103.959999,104.360001,82.195396,44750,15
2010-10-01,105.080002,105.160004,104.160004,104.720001,82.478905,17100,16
2010-10-04,105.260002,105.260002,103.5,103.839996,81.785828,88700,17
2010-10-05,105.019997,106.199997,104.82,106.120003,83.581589,19850,18
2010-10-06,106.120003,106.279999,105.620003,105.940002,83.439842,276900,19
2010-10-07,106.5,106.5,105.32,105.879997,83.392555,49900,20
2010-10-08,106.019997,106.739998,105.660004,106.68,84.022667,61550,21
2010-10-11,106.720001,106.839996,106.279999,106.5,83.880905,14200,22
2010-10-12,106.379997,107.239998,105.739998,107.120003,84.369225,42050,23
2010-10-13,107.580002,108.279999,107.239998,107.760002,84.873291,74450,24
2010-10-14,107.699997,107.82,106.800003,107.360001,84.558235,19100,25
2010-10-15,108.040001,108.080002,106.720001,107.559998,84.715775,54950,26
2010-10-18,107.620003,108.440002,107.440002,108.339996,85.330086,22850,27
2010-10-19,107.139999,107.68,106.019997,106.620003,83.975418,38550,28
2010-10-20,106.940002,108.160004,106.940002,107.760002,84.873291,22800,29
2010-10-21,108.260002,108.760002,107.300003,107.919998,84.99929,29400,30
2010-10-22,108.160004,108.199997,107.940002,108.18,85.204071,24850,31
2010-10-25,109.019997,109.279999,108.459999,108.5,85.456123,29600,32
2010-10-26,107.919998,108.559998,107.879997,108.480003,85.440369,15000,33
2010-10-27,107.739998,108.220001,107.220001,108.139999,85.172554,17150,34
2010-10-28,108.760002,108.82,107.760002,108.220001,85.235565,19250,35
2010-10-29,108.099998,108.419998,108,108.300003,85.29863,13400,36
2010-11-01,108.919998,109.419998,107.760002,108.360001,85.345848,51550,37
2010-11-02,109.220001,109.419998,108.860001,109.199997,86.007439,26100,38
2010-11-03,109.419998,109.660004,108.32,109.660004,86.369743,31850,39
2010-11-04,110.900002,111.800003,110.739998,111.720001,87.992241,49000,40
2010-11-05,111.900002,112.300003,111.68,112.160004,88.338799,48300,41
2010-11-08,111.879997,112.080002,111.5,112.019997,88.228523,43400,42
2010-11-09,112.18,112.300003,110.800003,111.139999,87.535423,35700,43
2010-11-10,111.160004,111.599998,110.32,111.559998,87.86618,28200,44
2010-11-11,110.68,111.279999,110.419998,111.199997,87.582672,24000,45
2010-11-12,110.400002,110.860001,109.379997,109.82,86.495789,39450,46
2010-11-15,110.300003,110.519997,109.639999,109.720001,86.417023,202750,47
2010-11-16,109.019997,109.019997,107.480003,107.959999,85.0308,32850,48
2010-11-17,108.059998,108.459999,107.779999,108.040001,85.093826,42450,49
2010-11-18,109.080002,109.919998,109.080002,109.639999,86.353996,26100,50
2010-11-19,109.5,109.940002,109.040001,109.900002,86.558762,20250,51
2010-11-22,109.419998,109.800003,108.580002,109.800003,86.480003,25350,52
2010-11-23,108.559998,108.639999,107.919998,108.260002,85.267097,142400,53
2010-11-24,108.940002,109.779999,108.940002,109.660004,86.369743,30100,54
